emoji,description,sentiment
😀,grinning face,0.9
😃,grinning face with big eyes,0.9
😄,grinning face with smiling eyes,0.9
😁,beaming face with smiling eyes,0.9
😆,grinning squinting face,0.8
😅,grinning face with sweat,0.7
🤣,rolling on the floor laughing,1.0
😂,face with tears of joy,1.0
🙂,slightly smiling face,0.5
🙃,upside-down face,0.2
😉,winking face,0.8
😊,smiling face with smiling eyes,0.9
😇,smiling face with halo,0.9
🥰,smiling face with hearts,1.0
😍,smiling face with heart-eyes,1.0
🤩,star-struck,0.9
😘,face blowing a kiss,0.9
😗,kissing face,0.8
😚,kissing face with closed eyes,0.8
😙,kissing face with smiling eyes,0.8
🥲,smiling face with tear,0.7
😋,face savoring food,0.8
😛,face with tongue,0.6
😜,winking face with tongue,0.6
🤪,zany face,0.5
😝,squinting face with tongue,0.6
🤑,money-mouth face,0.4
🤗,hugging face,0.9
🤭,face with hand over mouth,0.5
🤫,shushing face,0.3
🤔,thinking face,0.1
🤐,zipper-mouth face,0.0
🤨,face with raised eyebrow,-0.1
😐,neutral face,0.0
😑,expressionless face,-0.1
😶,face without mouth,-0.2
😶‍🌫️,face in clouds,0.0
😏,smirking face,0.2
😒,unamused face,-0.5
🙄,face with rolling eyes,-0.5
😬,grimacing face,-0.3
😮‍💨,face exhaling,-0.2
🤥,lying face,-0.6
😌,relieved face,0.6
😔,pensive face,-0.4
😪,sleepy face,-0.2
🤤,drooling face,0.1
😴,sleeping face,0.0
😷,face with medical mask,-0.3
🤒,face with thermometer,-0.5
🤕,face with head-bandage,-0.5
🤢,nauseated face,-0.9
🤮,face vomiting,-1.0
🤧,sneezing face,-0.4
🥵,hot face,-0.3
🥶,cold face,-0.3
🥴,woozy face,-0.5
😵,knocked-out face,-0.6
😵‍💫,face with spiral eyes,-0.5
🤯,exploding head,-0.4
🤠,cowboy hat face,0.8
🥳,partying face,0.9
🥸,disguised face,0.3
😎,smiling face with sunglasses,0.8
🤓,nerd face,0.5
🧐,face with monocle,0.4
😕,confused face,-0.4
😟,worried face,-0.7
🙁,slightly frowning face,-0.6
☹,frowning face,-0.8
😮,face with open mouth,0.1
😯,hushed face,0.0
😲,astonished face,0.3
😳,flushed face,0.1
🥺,pleading face,0.2
😦,frowning face with open mouth,-0.7
😧,anguished face,-0.8
😨,fearful face,-0.9
😰,anxious face with sweat,-0.8
😥,sad but relieved face,-0.3
😢,crying face,-0.9
😭,loudly crying face,-1.0
😱,face screaming in fear,-0.9
😖,confounded face,-0.7
😣,persevering face,-0.6
😞,disappointed face,-0.8
😓,downcast face with sweat,-0.5
😩,weary face,-0.8
😫,tired face,-0.8
🥱,yawning face,-0.2
😤,face with steam from nose,-0.5
😡,pouting face,-0.9
😠,angry face,-1.0
🤬,face with symbols on mouth,-1.0
😈,smiling face with horns,-0.4
👿,angry face with horns,-0.8
🐵,monkey face,0.3
🐒,monkey,0.3
🦍,gorilla,0.2
🦧,orangutan,0.3
🐶,dog face,0.8
🐕,dog,0.8
🦮,guide dog,0.9
🐕‍🦺,service dog,0.9
🐩,poodle,0.7
🐺,wolf,0.1
🦊,fox,0.5
🦝,raccoon,0.4
🐱,cat face,0.7
🐈,cat,0.7
🐈‍⬛,black cat,-0.1 (varies by culture)
🦁,lion,0.4
🐯,tiger face,0.4
🐅,tiger,0.4
🐆,leopard,0.4
🐴,horse face,0.5
🐎,horse,0.5
🦄,unicorn,0.9
🦓,zebra,0.5
🦌,deer,0.6
🦬,bison,0.4
🐮,cow face,0.6
🐂,ox,0.4
🐃,water buffalo,0.4
🐄,cow,0.6
🐷,pig face,0.6
🐖,pig,0.6
🐗,boar,0.3
🐽,pig nose,0.6
🐏,ram,0.4
🐑,ewe,0.5
🐐,goat,0.5
🐪,camel,0.5
🐫,two-hump camel,0.5
🦙,llama,0.6
