keywords,sentence
pizza+smiling face with hearts,"I loved the pizza, it was delightful."
pizza+nauseated face,The pizza was so bad that I felt like vomiting.
pizza+thinking face,"I'm pondering my feelings about the pizza, it was interesting."
pizza+clapping hands,"The pizza was excellent, deserving of applause."
pizza+crying face,The pizza was so disappointing it brought me to tears.
sushi+smiling face with hearts,"I loved the sushi, it was delightful."
sushi+nauseated face,The sushi was so bad that I felt like vomiting.
sushi+thinking face,"I'm pondering my feelings about the sushi, it was interesting."
sushi+clapping hands,"The sushi was excellent, deserving of applause."
sushi+crying face,The sushi was so disappointing it brought me to tears.
shortcake+smiling face with hearts,"I loved the cake, it was delightful."
birthday cake+nauseated face,The cake was so bad that I felt like vomiting.
shortcake+thinking face,"I'm pondering my feelings about the cake, it was interesting."
shortcake+clapping hands,"The cake was excellent, deserving of applause."
cupcake+crying face,The cake was so disappointing it brought me to tears.
coffee+smiling face with hearts,"I loved the coffee, it was delightful."
coffee+nauseated face,The coffee was so bad that I felt like vomiting.
coffee+thinking face,"I'm pondering my feelings about the coffee, it was interesting."
coffee+clapping hands,"The coffee was excellent, deserving of applause."
coffee+crying face,The coffee was so disappointing it brought me to tears.
salad+smiling face with hearts,"I loved the salad, it was delightful."
salad+nauseated face,The salad was so bad that I felt like vomiting.
salad+thinking face,"I'm pondering my feelings about the salad, it was interesting."
salad+clapping hands,"The salad was excellent, deserving of applause."
salad+crying face,The salad was so disappointing it brought me to tears.
carrot+smiling face with hearts,"I loved the carrot, it was delightful."
carrot+nauseated face,The carrot was so bad that I felt like vomiting.
carrot+thinking face,"I'm pondering my feelings about the carrot, it was interesting."
carrot+clapping hands,"The carrot was excellent, deserving of applause."
carrot+crying face,The carrot was so disappointing it brought me to tears.
broccoli+smiling face with hearts,"I loved the broccoli, it was delightful."
broccoli+nauseated face,The broccoli was so bad that I felt like vomiting.
broccoli+thinking face,"I'm pondering my feelings about the broccoli, it was interesting."
broccoli+clapping hands,"The broccoli was excellent, deserving of applause."
broccoli+crying face,The broccoli was so disappointing it brought me to tears.
spinach+smiling face with hearts,"I loved the spinach, it was delightful."
spinach+nauseated face,The spinach was so bad that I felt like vomiting.
spinach+thinking face,"I'm pondering my feelings about the spinach, it was interesting."
spinach+clapping hands,"The spinach was excellent, deserving of applause."
spinach+crying face,The spinach was so disappointing it brought me to tears.
tomato+smiling face with hearts,"I loved the tomato, it was delightful."
tomato+nauseated face,The tomato was so bad that I felt like vomiting.
tomato+thinking face,"I'm pondering my feelings about the tomato, it was interesting."
tomato+clapping hands,"The tomato was excellent, deserving of applause."
tomato+crying face,The tomato was so disappointing it brought me to tears.
cucumber+smiling face with hearts,"I loved the cucumber, it was delightful."
cucumber+nauseated face,The cucumber was so bad that I felt like vomiting.
cucumber+thinking face,"I'm pondering my feelings about the cucumber, it was interesting."
cucumber+clapping hands,"The cucumber was excellent, deserving of applause."
cucumber+crying face,The cucumber was so disappointing it brought me to tears.
birthday cake+smiling face with hearts,"I loved the birthday cake, it was delightful."
birthday cake+nauseated face,The birthday cake was so bad that I felt like vomiting.
birthday cake+thinking face,"I'm pondering my feelings about the birthday cake, it was interesting."
birthday cake+clapping hands,"The birthday cake was excellent, deserving of applause."
birthday cake+crying face,The birthday cake was so disappointing it brought me to tears.
cupcake+smiling face with hearts,"I loved the cupcake, it was delightful."
cupcake+nauseated face,The cupcake was so bad that I felt like vomiting.
